,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
0,0,2,USA,4494888.0,61478.0,152145.0,1070.0,2174358.0,2168385.0,19097.0,13574.0,459.0,55662058.0,168090.0,331145197.0,,39.7837304,-100.4458825
1,1,6,Brazil,2484649.0,41169.0,88634.0,955.0,1721560.0,674455.0,8318.0,11683.0,417.0,12601096.0,59252.0,212669472.0,BR,-10.3333333,-53.2
2,2,7,USA,4568375.0,338.0,153845.0,5.0,2245521.0,2169009.0,18852.0,13795.0,465.0,56688015.0,171182.0,331155784.0,IN,39.7837304,-100.4458825
3,3,9,Russia,823515.0,5395.0,13504.0,150.0,612217.0,197794.0,2300.0,5643.0,93.0,27327570.0,187253.0,145939220.0,,64.6863136,97.7453061
4,4,10,South Africa,459761.0,7232.0,7257.0,190.0,287313.0,165191.0,539.0,7745.0,122.0,2830635.0,47685.0,59361137.0,ZA,-28.8166236,24.991639
5,5,11,Mexico,395489.0,4973.0,44022.0,342.0,256777.0,94690.0,3922.0,3065.0,341.0,924359.0,7164.0,129029171.0,MX,22.5000485,-100.0000375
6,6,12,Brazil,2555518.0,0.0,90188.0,0.0,1787419.0,677911.0,8318.0,12016.0,424.0,12601096.0,59250.0,212677716.0,PE,-10.3333333,-53.2
7,7,13,India,1587982.0,3598.0,35035.0,32.0,1022565.0,530382.0,8944.0,1150.0,25.0,18190382.0,13171.0,1381048674.0,CL,22.3511148,78.6677428
8,8,14,Spain,327690.0,1828.0,28436.0,2.0,,,617.0,7008.0,608.0,6678414.0,142835.0,46756155.0,ES,39.3262345,-4.8380649
9,9,15,Russia,834499.0,5509.0,13802.0,129.0,629655.0,191042.0,2300.0,5718.0,95.0,27569646.0,188911.0,145939561.0,,64.6863136,97.7453061
10,10,16,South Africa,471123.0,0.0,7497.0,0.0,297967.0,165659.0,539.0,7936.0,126.0,2873163.0,48398.0,59365223.0,,-28.8166236,24.991639
11,11,17,Mexico,408449.0,5752.0,45361.0,485.0,267147.0,95941.0,3922.0,3165.0,352.0,953514.0,7389.0,129036569.0,PK,22.5000485,-100.0000375
12,12,18,Peru,400683.0,0.0,18816.0,0.0,280044.0,101823.0,1427.0,12140.0,570.0,2293612.0,69490.0,33006277.0,SA,-6.8699697,-75.0458515
13,13,19,Chile,351575.0,0.0,9278.0,0.0,324557.0,17740.0,1529.0,18379.0,485.0,1580823.0,82640.0,19128931.0,CO,-31.7613365,-71.3187697
14,14,20,Spain,329721.0,0.0,28441.0,0.0,198756.0,12609.0,617.0,7052.0,608.0,6678414.0,142835.0,46756254.0,IT,39.3262345,-4.8380649
15,15,21,UK,301455.0,0.0,45961.0,0.0,127414.0,98771.0,94.0,4439.0,677.0,15478728.0,227916.0,67914250.0,BD,54.7023545,-3.2765753
16,16,22,Iran,298909.0,0.0,16343.0,0.0,259116.0,23450.0,4027.0,3555.0,194.0,2405862.0,28616.0,84074125.0,TR,32.6475314,54.5643516
17,17,23,Pakistan,277402.0,1114.0,5924.0,32.0,246131.0,25347.0,1179.0,1254.0,27.0,1952730.0,8828.0,221201945.0,DE,30.3308401,71.247499
18,18,24,Colombia,276055.0,0.0,9454.0,0.0,142777.0,123824.0,1493.0,5421.0,186.0,1502809.0,29511.0,50924415.0,FR,2.8894434,-73.783892
19,19,25,Saudi Arabia,272590.0,0.0,2816.0,0.0,228569.0,41205.0,2063.0,7821.0,81.0,3237731.0,92894.0,34854060.0,AR,25.6242618,42.3528328
20,20,26,Italy,246776.0,0.0,35129.0,0.0,199031.0,12616.0,38.0,4082.0,581.0,6690311.0,110667.0,60454503.0,CA,42.6384261,12.674297
21,21,27,Bangladesh,234889.0,2695.0,3083.0,48.0,132960.0,98846.0,1.0,1425.0,19.0,1164195.0,7064.0,164815565.0,IQ,24.4768783,90.2932426
22,22,28,Turkey,228924.0,0.0,5659.0,0.0,212557.0,10708.0,1280.0,2712.0,67.0,4711095.0,55813.0,84408505.0,QA,38.9597594,34.9249653
23,23,29,Germany,208811.0,0.0,9212.0,0.0,192000.0,7599.0,261.0,2492.0,110.0,8006135.0,95532.0,83805419.0,ID,51.0834196,10.4234469
24,24,30,France,185196.0,0.0,30238.0,0.0,81311.0,73647.0,385.0,2837.0,463.0,2982302.0,45681.0,65285158.0,EG,46.603354,1.8883335
25,25,31,Argentina,178996.0,0.0,3288.0,0.0,77855.0,97853.0,1002.0,3958.0,73.0,675011.0,14925.0,45227828.0,KZ,-34.9964963,-64.9672817
26,26,32,Iraq,118300.0,0.0,4603.0,0.0,83461.0,30236.0,433.0,2936.0,114.0,965317.0,23961.0,40286249.0,CN,33.0955793,44.1749775
27,27,33,Canada,115470.0,0.0,8917.0,0.0,100465.0,6088.0,2237.0,3057.0,236.0,3899192.0,103241.0,37767796.0,PH,61.0666922,-107.9917071
28,28,34,Qatar,110153.0,0.0,169.0,0.0,106849.0,3135.0,97.0,39231.0,60.0,487435.0,173600.0,2807805.0,EC,25.3336984,51.2295295
29,29,35,Indonesia,106336.0,1904.0,5058.0,83.0,64292.0,36986.0,0.0,388.0,18.0,1447583.0,5288.0,273745183.0,SE,-2.4833826,117.8902853
30,30,36,Egypt,93356.0,0.0,4728.0,0.0,37025.0,51603.0,41.0,911.0,46.0,135000.0,1317.0,102474273.0,OM,26.2540493,29.2675469
31,31,37,Kazakhstan,87664.0,1472.0,793.0,0.0,57815.0,29056.0,221.0,4665.0,42.0,2079540.0,110651.0,18793759.0,,47.2286086,65.2093197
32,32,38,Philippines,85486.0,0.0,1962.0,0.0,26996.0,56528.0,351.0,779.0,18.0,1422384.0,12967.0,109690836.0,BY,12.7503486,122.7312101
33,33,39,China,84165.0,105.0,4634.0,0.0,78957.0,574.0,6.0,58.0,3.0,90410000.0,62814.0,1439323776.0,UA,35.000074,104.999927
34,34,40,Ecuador,83193.0,0.0,5623.0,0.0,35572.0,41998.0,350.0,4710.0,318.0,233877.0,13241.0,17662965.0,BE,-1.3397668,-79.3666965
35,35,41,Sweden,79782.0,0.0,5730.0,0.0,32182.0,33625.0,43.0,7896.0,567.0,810356.0,80200.0,10104222.0,KW,59.6749712,14.5208584
36,36,42,Oman,79159.0,590.0,421.0,9.0,61421.0,17317.0,187.0,15474.0,82.0,305651.0,59749.0,5115599.0,IL,21.0000287,57.0036901
